,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,OSP_ID,PM_DISTRICT_ID,BLOCKFACE_ID,METER_TYPE,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,ORIENTATION,LONGITUDE,LATITUDE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,Neighborhoods,Analysis Neighborhoods
3358,524-01280,-,0,ON,0,2,524012,SS,Area 1,524,KING ST,128,315,-122.3905477,37.7793221,Townsend St: Unit-300 King St,King St,31,4
3359,204-12120,-,0,ON,0,2,204122,SS,Area 3,204,04TH ST,1212,270,-122.39146395,37.77235306,4th St: 1200-1700 China Basin,MISSION BAY,34,4
3360,470-06130,-,0,ON,0,1,470061,SS,Area 1,470,HOWARD ST,613,135,-122.39853622,37.78643677,Howard St: Unit - 600 Bryan St,Howard Unit-600,32,8
3361,568-10170,-,0,ON,0,14,568101,SS,Area 2,568,MISSION ST,1017,135,-122.4090688,37.7805805,Mission St: Unit - 1600,Mission 700-1100,32,34
3362,418-05390,-,0,ON,0,2,418051,SS,-,418,FOLSOM ST,539,135,-122.3949603,37.7867969,,,30,8
3363,208-01120,-,0,ON,0,14,208012,SS,Area 2,208,08TH ST,112,225,-122.4128514,37.7770862,4th St: Unit 400 5th St:,4th St,32,34
3364,418-08290,-,0,ON,0,2,418081,SS,Area 2,418,FOLSOM ST,829,135,-122.4017997,37.7813961,Folsom St: Unit-800 1st:,Folsom 500-800,32,34
3365,418-08610,-,0,ON,0,2,418081,SS,Area 2,418,FOLSOM ST,861,135,-122.4026034,37.780761,,,32,34
3366,373-02120,-,0,ON,0,2,373022,SS,Area 3,373,CHANNEL ST,212,315,-122.39198294,37.77420604,4th St: 1200-1700 China Basin,China Basin,34,4
3367,471-07770,-,0,ON,0,2,471071,SS,Area 1,471,HARRISON ST,777,135,-122.3993371,37.7808797,Harrison St: 400 - 800,Harrison 400-700,32,34
3368,500-08340,-,0,ON,0,12,500082,SS,Area 3,500,JACKSON ST,834,0,-122.4093102,37.7957328,Jackson St: Unit - 800,Jackson: Unit - 800,104,6
